g_elements_in.mortonCode, g_elements_in.elementIdx
973233380, 0
829242940, 1
944356985, 2
512934636, 3
973118605, 4
828976340, 5
484418256, 6
367783561, 7
973326046, 8
368952935, 9
829271782, 10
368768060, 11
397597189, 12
974465893, 13
484011193, 14
973251746, 15
944319509, 16
973078874, 17
513186309, 18
828933617, 19
945699999, 20
973078845, 21
828967559, 22
973080460, 23
369097381, 24
944324180, 25
945369499, 26
859570889, 27
858057270, 28
484187158, 29
858036462, 30
945514154, 31
944506116, 32
513018026, 33
368276006, 34
828963365, 35
369096546, 36
973423896, 37
944443667, 38
484164814, 39
483911905, 40
944353979, 41
973505542, 42
858129414, 43
944269574, 44
513196808, 45
366981048, 46
973119214, 47
483772839, 48
944316913, 49
369083457, 50
829267408, 51
368961614, 52
944350551, 53
829272385, 54
484437973, 55
857999154, 56
512954544, 57
828990007, 58
944319685, 59
513452287, 60
366988660, 61
829288667, 62
484293217, 63
944603260, 64
512908688, 65
397640162, 66
484064326, 67
483818935, 68
483618392, 69
482987288, 70
944552408, 71
944344464, 72
859074922, 73
828896466, 74
973475209, 75
973111971, 76
829175806, 77
484178218, 78
973619320, 79
944322464, 80
944615107, 81
398103711, 82
857999682, 83
944443490, 84
973166773, 85
944320015, 86
973097152, 87
397845828, 88
858129105, 89
829243699, 90
369098019, 91
975328518, 92
944320020, 93
829012408, 94
513329781, 95
369078560, 96
486242372, 97
973509597, 98
944621251, 99
829238813, 100
829238815, 101
828994747, 102
484424409, 103
946360692, 104
946419626, 105
944561300, 106
827176808, 107
512902335, 108
369096179, 109
973916164, 110
829136087, 111
944584069, 112
944847564, 113
944711752, 114
943932137, 115
973347619, 116
369092442, 117
974918420, 118
944322172, 119
827159496, 120
975338113, 121
944580903, 122
973079748, 123
829275841, 124
973118811, 125
945448574, 126
858829343, 127
973159762, 128
397798818, 129
857778014, 130
944356402, 131
398080440, 132
512918219, 133
828224602, 134
858084837, 135
827324580, 136
944094673, 137
829273974, 138
484213935, 139
827177117, 140
828882293, 141
829044730, 142
973264017, 143
512187143, 144
857736848, 145
975375242, 146
944339970, 147
973101647, 148
829276389, 149
829699376, 150
857914563, 151
944352841, 152
944596665, 153
511967146, 154
975378710, 155
368809050, 156
858010247, 157
944262652, 158
858568165, 159
397866949, 160
858046722, 161
829243049, 162
368781744, 163
398106971, 164
829411344, 165
975197084, 166
484185622, 167
484314286, 168
829238345, 169
945523453, 170
944243271, 171
368211759, 172
975206613, 173
944976903, 174
829407480, 175
829237946, 176
973406965, 177
944350204, 178
858275480, 179
512908205, 180
483980711, 181
484141807, 182
829272563, 183
397552501, 184
944310738, 185
366959522, 186
944445524, 187
827102992, 188
369059586, 189
829274529, 190
829275197, 191
858137101, 192
944317716, 193
512978995, 194
973132793, 195
973519988, 196
828980389, 197
511892184, 198
513170538, 199
973279506, 200
513147720, 201
484142869, 202
944583593, 203
944319637, 204
484407305, 205
974296999, 206
856013304, 207
973127247, 208
828974386, 209
829272846, 210
973105672, 211
368997750, 212
486165566, 213
944628817, 214
829237918, 215
946416864, 216
973114227, 217
484304638, 218
368257978, 219
858031397, 220
946370635, 221
829235678, 222
829360126, 223
974137976, 224
946421461, 225
397576092, 226
484134518, 227
514850929, 228
974406337, 229
513216769, 230
858000762, 231
974258572, 232
512936228, 233
943843041, 234
974456666, 235
858041063, 236
944633361, 237
946414246, 238
486225810, 239
858540368, 240
828453694, 241
513003054, 242
829963377, 243
829371061, 244
974064653, 245
